Symbol,Exchange,Underlying,Leverage,Currency,ISIN,Name,Date,Open,High,Low,Close,Volume,Turnover,NAV,FX_Pair,FX_Rate,Open_KRW,High_KRW,Low_KRW,Close_KRW,NAV_KRW
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-07-01,29415.0,30690.0,25660.0,27030.0,90151330,2492661029958.0,26901.73,-,1.0,29415.0,30690.0,25660.0,27030.0,26901.73
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-07-02,22700.0,24600.0,18845.0,18845.0,105372337,2346360127171.0,18861.27,-,1.0,22700.0,24600.0,18845.0,18845.0,18861.27
0195S0.KS,KRX,SK Hynix,2x,KRW,KR70195S0007,TIGER SK하이닉스단일종목레버리지,2026-07-03,19040.0,23720.0,16500.0,23390.0,158151106,3216377083568.0,22999.38,-,1.0,19040.0,23720.0,16500.0,23390.0,22999.38
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-05-27,25000.0,25995.0,22900.0,23750.0,2418429,59121389756.0,23699.62,-,1.0,25000.0,25995.0,22900.0,23750.0,23699.62
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-05-28,22690.0,25075.0,21725.0,24745.0,5420674,126826407689.0,24806.18,-,1.0,22690.0,25075.0,21725.0,24745.0,24806.18
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-05-29,26230.0,26705.0,24710.0,25330.0,1780821,45748001098.0,25680.62,-,1.0,26230.0,26705.0,24710.0,25330.0,25680.62
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-01,25050.0,27120.0,24795.0,26445.0,1068150,27841478159.0,26102.62,-,1.0,25050.0,27120.0,24795.0,26445.0,26102.62
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-02,26445.0,27310.0,23955.0,26020.0,1200134,30584226894.0,25831.46,-,1.0,26445.0,27310.0,23955.0,26020.0,25831.46
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-04,24195.0,25355.0,24000.0,24805.0,955993,23756991474.0,24551.94,-,1.0,24195.0,25355.0,24000.0,24805.0,24551.94
0197W0.KS,KRX,SK Hynix,2x,KRW,KR70197W0009,SOL SK하이닉스단일종목레버리지,2026-06-05,21325.0,22420.0,19900.0,19900.0,1292970,26874867856.0,18922.96,-,1.0,21325.0,22420.0,19900.0,19900.0,18922.96
