Date,국가명,ISIN,종목명,보관잔고금액,종목구분
2026-03-06,홍콩,HK0001205258,XL2CSOPHYNIX,72915726,SK하이닉스 2x (7709)
2026-03-06,홍콩,HK0001121349,XL2CSOPSMSN,56564192,삼성 2x (7747/9747)
2026-03-09,홍콩,HK0001205258,XL2CSOPHYNIX,62984345,SK하이닉스 2x (7709)
2026-03-09,홍콩,HK0001121349,XL2CSOPSMSN,50371142,삼성 2x (7747/9747)
2026-03-10,홍콩,HK0001205258,XL2CSOPHYNIX,75902957,SK하이닉스 2x (7709)
2026-03-10,홍콩,HK0001121349,XL2CSOPSMSN,58337536,삼성 2x (7747/9747)
2026-03-11,홍콩,HK0001205258,XL2CSOPHYNIX,71303335,SK하이닉스 2x (7709)
2026-03-11,홍콩,HK0001121349,XL2CSOPSMSN,56028642,삼성 2x (7747/9747)
2026-03-12,홍콩,HK0001205258,XL2CSOPHYNIX,71109059,SK하이닉스 2x (7709)
2026-03-12,홍콩,HK0001121349,XL2CSOPSMSN,55717765,삼성 2x (7747/9747)
2026-03-13,홍콩,HK0001205258,XL2CSOPHYNIX,67088056,SK하이닉스 2x (7709)
2026-03-13,홍콩,HK0001121349,XL2CSOPSMSN,52802956,삼성 2x (7747/9747)
2026-03-16,홍콩,HK0001205258,XL2CSOPHYNIX,75210350,SK하이닉스 2x (7709)
2026-03-16,홍콩,HK0001121349,XL2CSOPSMSN,56567739,삼성 2x (7747/9747)
2026-03-17,홍콩,HK0001205258,XL2CSOPHYNIX,76120943,SK하이닉스 2x (7709)
2026-03-17,홍콩,HK0001121349,XL2CSOPSMSN,58055574,삼성 2x (7747/9747)
2026-03-18,홍콩,HK0001205258,XL2CSOPHYNIX,90211696,SK하이닉스 2x (7709)
2026-03-18,홍콩,HK0001121349,XL2CSOPSMSN,67963278,삼성 2x (7747/9747)
2026-03-19,홍콩,HK0001205258,XL2CSOPHYNIX,84599858,SK하이닉스 2x (7709)
2026-03-19,홍콩,HK0001121349,XL2CSOPSMSN,63720856,삼성 2x (7747/9747)
2026-03-20,홍콩,HK0001205258,XL2CSOPHYNIX,83635103,SK하이닉스 2x (7709)
2026-03-20,홍콩,HK0001121349,XL2CSOPSMSN,62619260,삼성 2x (7747/9747)
2026-03-23,홍콩,HK0001205258,XL2CSOPHYNIX,71849830,SK하이닉스 2x (7709)
2026-03-23,홍콩,HK0001121349,XL2CSOPSMSN,53692115,삼성 2x (7747/9747)
2026-03-24,홍콩,HK0001205258,XL2CSOPHYNIX,82262683,SK하이닉스 2x (7709)
2026-03-24,홍콩,HK0001121349,XL2CSOPSMSN,58440068,삼성 2x (7747/9747)
2026-03-25,홍콩,HK0001205258,XL2CSOPHYNIX,82590760,SK하이닉스 2x (7709)
2026-03-25,홍콩,HK0001121349,XL2CSOPSMSN,56982557,삼성 2x (7747/9747)
2026-03-26,홍콩,HK0001205258,XL2CSOPHYNIX,72913021,SK하이닉스 2x (7709)
2026-03-26,홍콩,HK0001121349,XL2CSOPSMSN,50850183,삼성 2x (7747/9747)
2026-03-27,홍콩,HK0001205258,XL2CSOPHYNIX,71105895,SK하이닉스 2x (7709)
2026-03-27,홍콩,HK0001121349,XL2CSOPSMSN,49973789,삼성 2x (7747/9747)
2026-03-30,홍콩,HK0001205258,XL2CSOPHYNIX,62785903,SK하이닉스 2x (7709)
2026-03-30,홍콩,HK0001121349,XL2CSOPSMSN,48617294,삼성 2x (7747/9747)
2026-03-31,홍콩,HK0001205258,XL2CSOPHYNIX,54955351,SK하이닉스 2x (7709)
2026-03-31,홍콩,HK0001121349,XL2CSOPSMSN,43459206,삼성 2x (7747/9747)
