Date,국가명,ISIN,종목명,매수대금,매도대금,매수매도대금,순매수대금,종목구분
2025-12-03,홍콩,HK0001205258,XL2CSOPHYNIX,174081,121736,295817,52345,SK하이닉스 2x (7709)
2025-12-03,홍콩,HK0001121349,XL2CSOPSMSN,168641,9781,178423,158860,삼성 2x (7747/9747)
2025-12-04,홍콩,HK0001205258,XL2CSOPHYNIX,341581,177135,518716,164446,SK하이닉스 2x (7709)
2025-12-04,홍콩,HK0001121349,XL2CSOPSMSN,88987,30481,119468,58506,삼성 2x (7747/9747)
2025-12-05,홍콩,HK0001205258,XL2CSOPHYNIX,273479,344443,617922,-70965,SK하이닉스 2x (7709)
2025-12-05,홍콩,HK0001121349,XL2CSOPSMSN,306204,111989,418193,194215,삼성 2x (7747/9747)
2025-12-08,홍콩,HK0001205258,XL2CSOPHYNIX,403494,103639,507133,299855,SK하이닉스 2x (7709)
2025-12-08,홍콩,HK0001121349,XL2CSOPSMSN,198720,27222,225942,171499,삼성 2x (7747/9747)
2025-12-09,홍콩,HK0001205258,XL2CSOPHYNIX,311521,64543,376065,246978,SK하이닉스 2x (7709)
2025-12-09,홍콩,HK0001121349,XL2CSOPSMSN,240697,73839,314537,166858,삼성 2x (7747/9747)
2025-12-10,홍콩,HK0001205258,XL2CSOPHYNIX,2482129,606556,3088685,1875573,SK하이닉스 2x (7709)
2025-12-10,홍콩,HK0001121349,XL2CSOPSMSN,612028,138891,750919,473137,삼성 2x (7747/9747)
2025-12-11,홍콩,HK0001205258,XL2CSOPHYNIX,181264,344706,525970,-163442,SK하이닉스 2x (7709)
2025-12-11,홍콩,HK0001121349,XL2CSOPSMSN,339605,161453,501058,178152,삼성 2x (7747/9747)
2025-12-12,홍콩,HK0001205258,XL2CSOPHYNIX,2863258,382011,3245269,2481247,SK하이닉스 2x (7709)
2025-12-12,홍콩,HK0001121349,XL2CSOPSMSN,239428,39634,279062,199795,삼성 2x (7747/9747)
2025-12-15,홍콩,HK0001205258,XL2CSOPHYNIX,1191871,543441,1735312,648429,SK하이닉스 2x (7709)
2025-12-15,홍콩,HK0001121349,XL2CSOPSMSN,604685,35791,640476,568894,삼성 2x (7747/9747)
2025-12-16,홍콩,HK0001205258,XL2CSOPHYNIX,354001,268017,622018,85984,SK하이닉스 2x (7709)
2025-12-16,홍콩,HK0001121349,XL2CSOPSMSN,291230,132663,423893,158567,삼성 2x (7747/9747)
2025-12-17,홍콩,HK0001205258,XL2CSOPHYNIX,919275,32297,951572,886978,SK하이닉스 2x (7709)
2025-12-17,홍콩,HK0001121349,XL2CSOPSMSN,429024,266164,695187,162860,삼성 2x (7747/9747)
2025-12-18,홍콩,HK0001205258,XL2CSOPHYNIX,538015,1987429,2525444,-1449414,SK하이닉스 2x (7709)
2025-12-18,홍콩,HK0001121349,XL2CSOPSMSN,266958,335941,602899,-68982,삼성 2x (7747/9747)
2025-12-19,홍콩,HK0001205258,XL2CSOPHYNIX,1455664,113913,1569577,1341752,SK하이닉스 2x (7709)
2025-12-19,홍콩,HK0001121349,XL2CSOPSMSN,169695,125736,295431,43959,삼성 2x (7747/9747)
2025-12-22,홍콩,HK0001205258,XL2CSOPHYNIX,884798,328969,1213766,555829,SK하이닉스 2x (7709)
2025-12-22,홍콩,HK0001121349,XL2CSOPSMSN,87805,43978,131783,43828,삼성 2x (7747/9747)
2025-12-23,홍콩,HK0001205258,XL2CSOPHYNIX,2968712,643619,3612331,2325093,SK하이닉스 2x (7709)
2025-12-23,홍콩,HK0001121349,XL2CSOPSMSN,852208,17479,869687,834729,삼성 2x (7747/9747)
2025-12-29,홍콩,HK0001205258,XL2CSOPHYNIX,750142,344892,1095034,405249,SK하이닉스 2x (7709)
