code,date
052770,20251212
445360,20251118
031860,20251024
175140,20250227
119860,20250930
439250,20260212
177350,20240604
388800,20241129
177350,20240926
139050,20250305
150840,20260115
226440,20260420
456440,20251208
065150,20250418
288330,20260220
010280,20240830
222160,20250826
219550,20260422
446150,20250814
082660,20260518
217620,20251219
415580,20251029
442770,20251202
021045,20251117
009620,20260430
263540,20250120
066430,20250206
078130,20250213
136510,20251013
035890,20260401
014200,20250822
196490,20241129
036630,20251110
078940,20260325
101390,20250429
457630,20250826
405000,20251121
065150,20260220
222160,20240412
057880,20260305
377400,20240130
068940,20250227
151910,20240321
442900,20260303
427950,20241205
388800,20240610
221840,20260128
308080,20260529
262260,20260515
477530,20260107
290720,20250612
024810,20240611
458320,20250328
080720,20260102
079950,20251204
263540,20240423
391060,20260116
439730,20251127
032800,20241015
121800,20251217
065570,20251212
041590,20250919
442310,20250721
174880,20240111
254490,20260520
182400,20260529
226950,20250217
425290,20260610
435870,20240112
430220,20250430
457630,20240412
418170,20260521
241820,20260323
196300,20260624
312610,20250131
067630,20260401
288330,20260403
016790,20250721
449020,20260415
418210,20250213
060240,20250919
049180,20260119
115180,20251125
405640,20250805
069540,20260409
415580,20251222
036690,20250617
071200,20251103
217620,20250902
096690,20240621
290380,20250707
900280,20240729
226440,20240806
086520,20240416
032685,20260415
044180,20240522
024810,20250207
421800,20241105
208860,20250211
223310,20250708
439730,20250616
441270,20250722
196490,20260213
227100,20240805
053590,20240208
066410,20260403
426550,20250203
377460,20241014
065150,20260403
012340,20260601
412930,20251002
435380,20251017
397880,20240919
136510,20260612
331380,20260605
119860,20250108
418250,20250929
227100,20240131
106520,20260528
121800,20260604
021040,20250321
223310,20260421
062970,20260619
435870,20260410
043220,20250718
415580,20251020
436530,20250812
438580,20260202
457940,20260204
078940,20241216
101670,20250404
215090,20240729
425290,20250522
121800,20260226
177350,20240816
217620,20251205
456010,20260422
019590,20260423
258830,20241122
066430,20241107
006580,20240809
066790,20251014
019660,20240625
052670,20250901
950170,20240416
372290,20250812
455310,20260608
204630,20260610
043090,20250516
406760,20250611
442770,20251023
068790,20260326
412540,20260303
436610,20250304
177350,20241025
435380,20250717
041590,20250429
117670,20240507
121800,20240311
257370,20240227
088290,20260416
065690,20241023
214450,20250613
424870,20251223
263540,20240516
092600,20260206
082660,20240711
046070,20260608
160600,20241106
477760,20260316
078860,20250630
244460,20240416
006580,20240802
164060,20241105
080720,20241121
089030,20240425
032860,20240103
044060,20240619
196490,20250819
268600,20250826
119860,20250421
121800,20260618
136510,20241230
435620,20250908
227100,20260116
066410,20250808
456440,20260423
241820,20250905
161570,20241209
422040,20250526
078130,20240509
446840,20241021
347700,20260107
258830,20240527
436610,20251218
442900,20260212
054180,20240517
440790,20260518
079970,20250805
454750,20260330
071460,20260520
468510,20260204
287410,20260305
458320,20251215
050110,20260223
