구분,시장구분,회사명,종목코드,상장일,상장주식수(천주)
주권,유가증권,한솔홈데코,025750,2003-11-04,16113
주권,유가증권,이수페타시스,007660,2003-10-07,73409
주권,유가증권,강원랜드,035250,2003-09-04,213941
주권,유가증권,YG PLUS,037270,2003-08-01,63663
주권,유가증권,농심홀딩스,072710,2003-07-30,4638
주권,유가증권,한국금융지주,071050,2003-07-21,61584
주권,유가증권,유엔젤,072130,2003-07-01,12695
주권,유가증권,SBS,034120,2003-06-25,18551
주권,유가증권,NC,036570,2003-05-22,21544
주권,유가증권,하이스틸,071090,2003-02-17,20191
주권,유가증권,DSR제강,069730,2003-01-28,14400
주권,유가증권,태경케미컬,006890,2003-01-28,11600
주권,유가증권,한농화성,011500,2003-01-09,15637
주권,유가증권,현대백화점,069960,2002-11-25,21565
주권,유가증권,대호에이엘,069460,2002-11-11,17414
주권,유가증권,대웅제약,069620,2002-11-01,11587
주권,유가증권,마니커,027740,2002-10-29,31756
주권,유가증권,SNT홀딩스,036530,2002-10-22,16304
주권,유가증권,티케이지휴켐스,069260,2002-10-07,40879
주권,유가증권,SJG세종,033530,2002-09-25,27821
주권,유가증권,포스코스틸리온,058430,2002-08-16,60000
주권,유가증권,삼성출판사,068290,2002-08-05,10000
주권,유가증권,세이브존I&C,067830,2002-07-25,41041
주권,유가증권,교보증권,030610,2002-07-18,113963
주권,유가증권,한샘,009240,2002-07-16,23534
주권,유가증권,우신시스템,017370,2002-05-28,18314
주권,유가증권,LG전자,066570,2002-04-22,180066
주권,유가증권,콜마홀딩스,024720,2002-04-09,34296
주권,유가증권,SNT모티브,064960,2002-03-11,26540
주권,유가증권,광주신세계,037710,2002-02-07,7627
주권,유가증권,일진디스플,020760,2002-01-09,56524
주권,유가증권,종근당바이오,063160,2001-12-11,5486
주권,유가증권,신한지주,055550,2001-09-10,474654
주권,유가증권,코웨이,021240,2001-08-07,70767
주권,유가증권,세아홀딩스,058650,2001-07-30,4242
주권,유가증권,LG생활건강,051900,2001-04-25,17072
주권,유가증권,LG화학,051910,2001-04-25,78281
주권,유가증권,대우건설,047040,2001-03-23,410908
주권,유가증권,포스코인터내셔널,047050,2001-03-23,175923
주권,유가증권,한화오션,042660,2001-02-02,306413
주권,유가증권,진양화학,051630,2001-01-29,21200
주권,유가증권,두산에너빌리티,034020,2000-10-25,640561
주권,유가증권,한국내화,010040,2000-10-16,41067
주권,유가증권,한세예스24홀딩스,016450,2000-01-06,40000
주권,유가증권,대성홀딩스,016710,1999-12-22,16089
주권,유가증권,대원제약,003220,1999-12-15,22428
주권,유가증권,한국가스공사,036460,1999-12-15,92313
주권,유가증권,미래아이앤지,007120,1999-11-26,27323
주권,유가증권,화천기공,000850,1999-11-18,2200
주권,유가증권,팜스코,036580,1999-10-25,36728
주권,유가증권,케이티앤지,033780,1999-10-08,103810
주권,유가증권,HD한국조선해양,009540,1999-08-24,70773
주권,유가증권,디씨엠,024090,1999-08-18,11400
주권,유가증권,AK홀딩스,006840,1999-08-11,13248
주권,유가증권,HS애드,035000,1999-08-11,16208
주권,유가증권,대한유화,006650,1999-08-11,6500
주권,유가증권,백산,035150,1999-08-11,19771
주권,유가증권,체시스,033250,1999-08-11,6400
주권,유가증권,자화전자,033240,1999-01-06,21606
주권,유가증권,케이티,030200,1998-12-23,252022
주권,유가증권,엑시큐어하이트론,019490,1998-11-04,76432
주권,유가증권,제일기획,030000,1998-03-03,115041
주권,유가증권,스틱인베스트먼트,026890,1997-11-25,38771
주권,유가증권,케이씨,029460,1997-11-25,11021
주권,유가증권,대원화성,024890,1997-10-28,8250
주권,유가증권,E1,017940,1997-08-27,6860
주권,유가증권,SK가스,018670,1997-08-27,9257
주권,유가증권,다우기술,023590,1997-08-27,43287
주권,유가증권,영보화학,014440,1997-08-27,20000
주권,유가증권,SKC,011790,1997-07-18,49598
주권,유가증권,한국주강,025890,1997-07-18,11145
주권,유가증권,디와이덕양,024900,1997-06-23,32565
주권,유가증권,에쓰씨엔지니어링,023960,1997-06-23,38036
주권,유가증권,인지컨트롤스,023800,1997-06-23,15809
주권,유가증권,경동인베스트,012320,1997-03-07,2365
주권,유가증권,아이티센씨티에스,031820,1997-02-12,12105
주권,유가증권,에스제이엠홀딩스,025530,1997-02-12,14934
주권,유가증권,SK하이닉스,000660,1996-12-26,712702
주권,유가증권,INVENI,015360,1996-12-24,27250
주권,유가증권,MH에탄올,023150,1996-12-24,7379
주권,유가증권,동남합성,023450,1996-12-24,3500
주권,유가증권,삼성E&A,028050,1996-12-24,196000
주권,유가증권,신도리코,029530,1996-12-24,9716
주권,유가증권,온타이드,005320,1996-12-24,34188
주권,유가증권,퍼시스,016800,1996-12-24,11500
주권,유가증권,WISCOM,024070,1996-11-22,15326
주권,유가증권,동원수산,030720,1996-11-22,4654
주권,유가증권,미래산업,025560,1996-11-22,5091
주권,유가증권,다올투자증권,030210,1996-11-19,60911
주권,유가증권,HDC,012630,1996-10-16,59742
주권,유가증권,광전자,017900,1996-10-16,57944
주권,유가증권,한국단자공업,025540,1996-10-16,10115
주권,유가증권,디아이,003160,1996-07-31,28300
주권,유가증권,신성이엔지,011930,1996-07-31,20306
주권,유가증권,티에이치엔,019180,1996-07-31,18000
주권,유가증권,한온시스템,018880,1996-07-31,1026263
주권,유가증권,블루산업개발,006740,1996-07-03,23740
주권,유가증권,세원정공,021820,1996-07-03,10000
주권,유가증권,유니온,000910,1996-07-03,15612
주권,유가증권,키다리스튜디오,020120,1996-07-03,37064
주권,유가증권,한국제지,027970,1996-07-03,190151
주권,유가증권,한섬,020000,1996-07-03,21477
주권,유가증권,현대엘리베이터,017800,1996-07-03,39092
주권,유가증권,환인제약,016580,1996-07-03,18600
주권,유가증권,계룡건설산업,013580,1996-01-30,8931
주권,유가증권,서원,021050,1996-01-30,47475
주권,유가증권,에스원,012750,1996-01-30,37999
주권,유가증권,태경산업,015890,1996-01-30,29229
주권,유가증권,신대양제지,016590,1995-12-21,40298
주권,유가증권,와이투솔루션,011690,1995-12-21,36704
주권,유가증권,남해화학,025860,1995-11-10,49679
주권,유가증권,동원모빌리티,018500,1995-11-10,46755
주권,유가증권,우성머티리얼스,011300,1995-11-10,16816
주권,유가증권,HMM,011200,1995-10-05,943238
주권,유가증권,경인양행,012610,1995-10-05,41616
주권,유가증권,풀무원,017810,1995-10-05,38121
주권,유가증권,서울도시가스,017390,1995-08-18,4950
주권,유가증권,이구산업,025820,1995-08-18,33442
주권,유가증권,에넥스,011090,1995-07-08,11857
주권,유가증권,에이프로젠,007460,1995-07-08,23595
주권,유가증권,차AI헬스케어,025620,1995-07-08,18204
주권,유가증권,한국카본,017960,1995-07-08,51676
주권,유가증권,KPX케미칼,025000,1994-12-27,4379
주권,유가증권,TP,007980,1994-12-27,46897
주권,유가증권,에스엠벡셀,010580,1994-12-27,111252
주권,유가증권,KC그린홀딩스,009440,1994-11-05,23239
주권,유가증권,문배철강,008420,1994-11-05,20504
주권,유가증권,웅진,016880,1994-11-05,79927
주권,유가증권,HL D&I,014790,1994-08-12,37859
주권,유가증권,오뚜기,007310,1994-08-12,4008
주권,유가증권,엘에스일렉트릭,010120,1994-07-11,150000
주권,유가증권,대양금속,009190,1994-04-29,43986
