code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,susi,susi_after,susi_corr,action,susi_yr,susi_after_yr,action_yr
452450,333,333,7696677032000.0,23113144240.24024,0.0,1.3760330578512396,ST,123938040000.0,피아이이,N,D1,19.0,9.0,3.0,3.0,13.807807807807809,6.54054054054054,2.18018018018018
090360,596,596,13693753567000.0,22976096588.92617,0.0,2.462809917355372,ST,699075000000.0,로보스타,N,D1,23.0,16.0,2.0,9.0,9.338926174496644,6.496644295302013,3.654362416107382
237690,606,606,13827851245500.0,22818236378.71287,0.0,2.5041322314049586,ST,2580253576800.0,에스티팜,N,D1,107.0,43.0,8.0,1.0,42.72937293729373,17.171617161716174,0.39933993399339934
393970,243,243,5521389907500.0,22721769166.666668,0.0,1.0041322314049588,ST,50428566500.0,대진첨단소재,N,D1,29.0,20.0,7.0,2.0,28.880658436213988,19.917695473251026,1.9917695473251027
323280,565,565,12806633689000.0,22666608299.115044,0.0,2.334710743801653,ST,1187927422000.0,태성,N,D1,51.0,17.0,7.0,25.0,21.84424778761062,7.28141592920354,10.70796460176991
464490,132,132,2958984042000.0,22416545772.727272,0.0,0.5454545454545454,ST,66251792010.0,쿼드메디슨,N,D1,9.0,5.0,0.0,0.0,16.5,9.166666666666668,0.0
462860,309,309,6824433576500.0,22085545555.016186,0.0,1.2768595041322317,ST,147459654765.0,더즌,N,D1,32.0,5.0,3.0,5.0,25.061488673139152,3.9158576051779925,3.9158576051779925
310210,606,606,13152782994500.0,21704262367.16172,0.0,2.5041322314049586,ST,3061561723800.0,보로노이,N,D1,72.0,46.0,20.0,5.0,28.752475247524753,18.36963696369637,1.9966996699669968
460930,578,578,12520483990000.0,21661737006.92041,0.0,2.3884297520661155,ST,413344210440.0,현대힘스,N,D1,27.0,9.0,2.0,5.0,11.304498269896195,3.768166089965398,2.0934256055363325
464080,489,489,10520244857500.0,21513793164.62168,0.0,2.020661157024793,ST,164753873100.0,에스오에스랩,N,D1,31.0,16.0,9.0,2.0,15.34151329243354,7.918200408997956,0.9897750511247445
488280,187,187,3950058574500.0,21123307885.026737,0.0,0.7727272727272727,ST,110627696640.0,에스투더블유,N,D1,15.0,8.0,4.0,0.0,19.411764705882355,10.352941176470589,0.0
043260,567,567,11869800923500.0,20934393163.139328,0.0,2.34297520661157,ST,1584970848900.0,성호전자,N,D1,78.0,50.0,20.0,22.0,33.29100529100529,21.340388007054674,9.389770723104057
041020,606,606,12664675306000.0,20898804135.31353,0.0,2.5041322314049586,ST,147064027280.0,폴라리스오피스,N,D1,28.0,28.0,4.0,6.0,11.181518151815181,11.181518151815181,2.396039603960396
287840,269,269,5610407273500.0,20856532615.241634,0.0,1.1115702479338845,ST,347007276000.0,인투셀,N,D1,15.0,8.0,1.0,1.0,13.494423791821559,7.197026022304832,0.899628252788104
014950,154,154,3205701069000.0,20816240707.79221,0.0,0.6363636363636364,ST,43282818100.0,삼익제약,N,D1,11.0,2.0,0.0,4.0,17.285714285714285,3.142857142857143,6.285714285714286
030520,594,594,12267928843500.0,20653078861.11111,0.0,2.4545454545454546,ST,427497873920.0,한글과컴퓨터,N,D1,41.0,12.0,5.0,10.0,16.703703703703702,4.888888888888888,4.074074074074074
209640,402,402,8185015014000.0,20360733865.67164,0.0,1.6611570247933884,ST,104528561550.0,와이제이링크,N,D1,24.0,10.0,3.0,9.0,14.44776119402985,6.019900497512438,5.417910447761194
0015S0,134,134,2713565841000.0,20250491350.74627,0.0,0.5537190082644629,ST,73211136600.0,페스카로,N,D1,13.0,9.0,1.0,1.0,23.477611940298505,16.25373134328358,1.8059701492537312
204270,596,596,12006631240500.0,20145354430.36913,0.0,2.462809917355372,ST,1030281179460.0,제이앤티씨,N,D1,45.0,17.0,4.0,11.0,18.27181208053691,6.902684563758388,4.466442953020134
145020,606,606,12138928713500.0,20031235500.82508,0.0,2.5041322314049586,ST,2959119936500.0,휴젤,N,D1,102.0,46.0,1.0,4.0,40.73267326732673,18.36963696369637,1.5973597359735974
295310,456,456,9091187549000.0,19936814800.438595,0.0,1.884297520661157,ST,571007939400.0,에이치브이엠,N,D1,36.0,26.0,13.0,13.0,19.105263157894736,13.798245614035087,6.899122807017544
053030,606,606,12070452570000.0,19918238564.356438,0.0,2.5041322314049586,ST,233691944200.0,바이넥스,N,D1,27.0,14.0,3.0,6.0,10.782178217821782,5.590759075907591,2.396039603960396
394800,383,383,7582211799500.0,19796897648.825066,0.0,1.5826446280991735,ST,187753062700.0,쓰리빌리언,N,D1,29.0,12.0,3.0,8.0,18.323759791122715,7.5822454308094,5.054830287206267
025320,606,606,11875718710000.0,19596895561.056107,0.0,2.5041322314049586,ST,391690425250.0,시노펙스,N,D1,45.0,27.0,11.0,8.0,17.970297029702973,10.782178217821782,3.1947194719471947
463020,233,233,4553152203500.0,19541425766.09442,0.0,0.962809917355372,ST,57182048000.0,뉴엔AI,N,D1,5.0,1.0,0.0,2.0,5.1931330472103,1.03862660944206,2.07725321888412
263750,606,606,11692228762000.0,19294106867.9868,0.0,2.5041322314049586,ST,2328366865500.0,펄어비스,N,D1,69.0,56.0,1.0,3.0,27.554455445544555,22.363036303630363,1.198019801980198
399720,605,605,11565396648000.0,19116358095.867767,0.0,2.5,ST,677181876800.0,가온칩스,N,D1,38.0,26.0,9.0,0.0,15.2,10.4,0.0
474170,412,412,7851863357000.0,19057920769.41748,0.0,1.7024793388429753,ST,124189341120.0,루미르,N,D1,29.0,8.0,3.0,1.0,17.033980582524272,4.699029126213592,0.587378640776699
042000,606,606,11323527342500.0,18685688683.9934,0.0,2.5041322314049586,ST,419007668770.0,카페24,N,D1,29.0,28.0,1.0,12.0,11.58085808580858,11.181518151815181,4.792079207920792
445090,606,606,11134233057500.0,18373321877.062702,0.0,2.5041322314049586,ST,273141450000.0,에이직랜드,N,D1,52.0,30.0,13.0,3.0,20.765676567656765,11.98019801980198,1.198019801980198
