공시일,시각,애프터,종목코드,종목명,decile,관리부담,사유성격,정지사유,동반공시,정지공시_원문
20240405,17:36:57,Y,356890,싸이버원,D4,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"주식회사 싸이버원 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240405,17:37:02,Y,290690,소룩스,D2,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)소룩스 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240405,17:37:14,Y,119610,인터로조,D5,뉴스형(즉시조치),부실·위험,상장폐지 사유발생,(주)인터로조 감사보고서 제출,(주)인터로조 주권매매거래정지(상장폐지 사유발생)
20240405,18:12:41,Y,031860,디에이치엑스컴퍼니,(유니버스 밖),집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"에스유홀딩스(주) 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
20240408,07:30:18,,139050,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)비에프랩스 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)비에프랩스 주권매매거래정지(풍문 또는 보도 관련)
20240408,07:58:12,,245620,EDGC,(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,이원다이애그노믹스(주) 조회공시요구(풍문또는보도)(감사의견 비적정설),이원다이애그노믹스(주) 주권매매거래정지(풍문 또는 보도 관련)
20240408,09:29:11,,421800,(상장폐지),(유니버스 밖),뉴스형(즉시조치),자본·조직변동,SPAC 합병(예비심사청구대상,교보12호기업인수목적 주식회사 회사합병 결정,교보12호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240408,15:24:14,,006580,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,투자자보호 사유 : 자진 상장폐지 결정,대양제지공업(주) 상장폐지결정,대양제지공업(주) 주권매매거래정지(투자자보호 사유 : 자진 상장폐지 결정)
20240408,15:49:22,Y,204630,(상장폐지),(유니버스 밖),뉴스형(즉시조치),부실·위험,풍문 또는 보도 관련,(주)스튜디오 산타클로스 엔터테인먼트 조회공시요구(풍문또는보도)(감사의견 비적정설),(주)스튜디오 산타클로스 엔터테인먼트 주권매매거래정지(풍문 또는 보도 관련)
20240408,16:46:38,Y,096690,에이루트,D9,집행형(부담 낮음),자본·조직변동,"주식의 병합, 분할 등 전자등록 변경, 말소",,"(주)에이루트 주권매매거래정지(주식의 병합, 분할 등 전자등록 변경, 말소)"
