공시일,종목코드,종목명,사유성격,정지사유,시차_분,동반공시_원문,동반공시_유형,정지공시_원문
20240321,072520,(상장폐지),부실·위험,상장폐지 사유발생,1,(주)제넨바이오 관리종목지정(상장폐지사유 발생),관리종목지정,(주)제넨바이오 주권매매거래정지(상장폐지 사유발생)
20240321,230980,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)비유테크놀러지 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)비유테크놀러지 주권매매거래정지(풍문 또는 보도 관련)
20240321,323230,(상장폐지),부실·위험,관리종목지정사유발생,1,엠에프엠코리아(주) 감사보고서 제출,감사보고서 제출,엠에프엠코리아(주) 주권매매거래정지(관리종목지정사유발생)
20240321,323230,(상장폐지),부실·위험,관리종목지정사유발생,1,엠에프엠코리아(주) 신주인수권증권 매매거래정지(상장폐지 사유발생),신주인수권증권 매매거래정지,엠에프엠코리아(주) 주권매매거래정지(관리종목지정사유발생)
20240321,408900,스튜디오미르,자본·조직변동,무상증자,0,주식회사 스튜디오미르 무상증자결정,무상증자결정,주식회사 스튜디오미르 주권매매거래정지(무상증자)
20240322,260970,에스앤디,자본·조직변동,이익소각,0,(주)에스앤디 자기주식 취득 결정,자기주식 취득 결정,(주)에스앤디 주권매매거래정지(이익소각)
20240322,260970,에스앤디,자본·조직변동,이익소각,0,(주)에스앤디 정기주주총회결과,정기주주총회결과,(주)에스앤디 주권매매거래정지(이익소각)
20240322,260970,에스앤디,자본·조직변동,이익소각,0,(주)에스앤디 주식소각 결정,주식소각 결정,(주)에스앤디 주권매매거래정지(이익소각)
20240325,182400,엔케이젠바이오텍코리아,부실·위험,상장적격성 실질심사 대상 (사유발생,0,"(주)엔케이맥스 불성실공시법인지정(공시번복 1건, 공시불이행 4건)",맥스 불성실공시법인지정,(주)엔케이맥스 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240325,315640,딥노이드,자본·조직변동,무상증자,0,주식회사 딥노이드 무상증자결정,무상증자결정,주식회사 딥노이드 주권매매거래정지(무상증자)
20240326,217620,(상장폐지),부실·위험,투자자 보호,0,(주)디딤이앤에프 기타시장안내(상장폐지 관련),기타시장안내,(주)디딤이앤에프 주권매매거래정지(투자자 보호)
20240326,217620,(상장폐지),부실·위험,투자자 보호,0,(주)디딤이앤에프 투자주의환기종목지정(내부회계관리제도 비적정 등 ),투자주의환기종목지정,(주)디딤이앤에프 주권매매거래정지(투자자 보호)
20240328,041590,플래스크,부실·위험,풍문 또는 보도 관련,1,(주)플래스크 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)플래스크 주권매매거래정지(풍문 또는 보도 관련)
20240329,258830,세종메디칼,부실·위험,풍문 또는 보도 관련,0,(주)세종메디칼 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)세종메디칼 주권매매거래정지(풍문 또는 보도 관련)
20240401,042500,링네트,자본·조직변동,무상증자,0,(주)링네트 무상증자결정,무상증자결정,(주)링네트 주권매매거래정지(무상증자)
20240401,340930,성원에너텍,자본·조직변동,무상증자,0,유일에너테크(주) 무상증자결정,무상증자결정,유일에너테크(주) 주권매매거래정지(무상증자)
20240402,196490,디에이테크놀로지,부실·위험,풍문 또는 보도 관련,0,(주)디에이테크놀로지 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),조회공시요구,(주)디에이테크놀로지 주권매매거래정지(풍문 또는 보도 관련)
20240403,053610,프로텍,부실·위험,회계처리 기준위반,0,(주)프로텍 회계처리기준위반행위로인한검찰기소,회계처리기준위반행위로인한검찰기소,(주)프로텍 주권매매거래정지(회계처리 기준위반)
20240404,222810,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)세토피아 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)세토피아 주권매매거래정지(풍문 또는 보도 관련)
20240404,262840,아이퀘스트,자본·조직변동,무상증자,0,(주)아이퀘스트 무상증자결정,무상증자결정,(주)아이퀘스트 주권매매거래정지(무상증자)
20240405,054630,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)에이디칩스 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)에이디칩스 주권매매거래정지(풍문 또는 보도 관련)
20240405,119610,인터로조,부실·위험,상장폐지 사유발생,0,(주)인터로조 감사보고서 제출,감사보고서 제출,(주)인터로조 주권매매거래정지(상장폐지 사유발생)
20240405,198940,한주라이트메탈,자본·조직변동,무상증자,0,한주라이트메탈(주) 유무상증자결정(주주배정후 실권주 일반공모),유무상증자결정,한주라이트메탈(주) 주권매매거래정지(무상증자)
20240405,418250,시큐레터,부실·위험,풍문 또는 보도 관련,0,시큐레터 주식회사 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,시큐레터 주식회사 주권매매거래정지(풍문 또는 보도 관련)
20240408,006580,(상장폐지),부실·위험,투자자보호 사유 : 자진 상장폐지 결정,0,대양제지공업(주) 상장폐지결정,상장폐지결정,대양제지공업(주) 주권매매거래정지(투자자보호 사유 : 자진 상장폐지 결정)
20240408,139050,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)비에프랩스 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,(주)비에프랩스 주권매매거래정지(풍문 또는 보도 관련)
20240408,204630,(상장폐지),부실·위험,풍문 또는 보도 관련,0,(주)스튜디오 산타클로스 엔터테인먼트 조회공시요구(풍문또는보도)(감사의견 비적정설),산타클로스 엔터테인먼트 조회공시요구,(주)스튜디오 산타클로스 엔터테인먼트 주권매매거래정지(풍문 또는 보도 관련)
20240408,245620,EDGC,부실·위험,풍문 또는 보도 관련,0,이원다이애그노믹스(주) 조회공시요구(풍문또는보도)(감사의견 비적정설),조회공시요구,이원다이애그노믹스(주) 주권매매거래정지(풍문 또는 보도 관련)
20240408,421800,(상장폐지),자본·조직변동,SPAC 합병(예비심사청구대상,1,교보12호기업인수목적 주식회사 회사합병 결정,회사합병 결정,교보12호기업인수목적 주식회사 주권매매거래정지(SPAC 합병(예비심사청구대상))
20240411,187790,나노,부실·위험,상장적격성 실질심사 대상 (사유발생,1,(주)나노 기타시장안내(상장적격성 실질심사 관련 안내),기타시장안내,(주)나노 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240411,187790,나노,부실·위험,상장적격성 실질심사 대상 (사유발생,1,(주)나노 (정정)감사보고서 제출,(정정)감사보고서 제출,(주)나노 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240411,187790,나노,부실·위험,상장적격성 실질심사 대상 (사유발생,0,(주)나노 (정정)감사보고서 제출(2022 사업연도),(정정)감사보고서 제출(2022 사업연도),(주)나노 주권매매거래정지(상장적격성 실질심사 대상 (사유발생))
20240411,196490,디에이테크놀로지,부실·위험,풍문 또는 보도 관련,0,(주)디에이테크놀로지 조회공시요구(풍문또는보도)(전 대표이사의 횡령·배임혐의설),조회공시요구,(주)디에이테크놀로지 주권매매거래정지(풍문 또는 보도 관련)
20240411,317240,TS트릴리온,부실·위험,풍문 또는 보도 관련,0,(주)티에스트릴리온 조회공시요구(풍문또는보도)(채권자에 의한 파산신청설),조회공시요구,(주)티에스트릴리온 주권매매거래정지(풍문 또는 보도 관련)
20240412,435620,(상장폐지),자본·조직변동,"SPAC 합병결정 이후 취소,부인사실 발생",1,하나금융25호기업인수목적 주식회사 임시주주총회결과,임시주주총회결과,"하나금융25호기업인수목적 주식회사 주권매매거래정지(SPAC 합병결정 이후 취소,부인사실 발생)"
