code,listed,traded_days,amt_sum,amt_avg,no_trade_pct,years,group,mktcap,name,spac,decile,nxt_yr,krx_yr
463480,331,331,5480559266500.0,16557580865.558912,0.0,1.3677685950413223,ST,56500032480.0,모티브링크,N,D1,458004384200.0,2188606175731.0232
452190,584,584,9622918906000.0,16477600866.438356,0.0,2.413223140495868,ST,89343280395.0,한빛레이저,N,D1,275517615148.3871,3842815800745.875
089010,606,606,9968575204500.0,16449794066.831684,0.0,2.5041322314049586,ST,384033618300.0,켐트로닉스,N,D1,1801956370180.6453,3980850164173.2676
457550,590,590,9600090665000.0,16271340110.16949,0.0,2.43801652892562,ST,146214451020.0,우진엔텍,N,D1,1186908764374.1936,3833699572491.7495
403850,150,150,2437094566000.0,16247297106.666666,0.0,0.6198347107438017,ST,153699317100.0,더핑크퐁컴퍼니,N,D1,123373719451.61292,973229183122.1123
131970,595,595,9627920542500.0,16181379063.02521,0.0,2.458677685950413,ST,1930791076200.0,두산테스나,N,D1,4286184153012.9033,3844813153935.6436
319660,596,596,9628543054500.0,16155273581.37584,0.0,2.462809917355372,ST,5486295631600.0,피에스케이,N,D1,3095558671451.613,3845061747836.634
439580,605,605,9758675006500.0,16130041333.057852,0.0,2.5,ST,58486833216.0,블루엠텍,N,D1,661827378335.4839,3897028632958.746
051980,536,536,8582682704000.0,16012467731.343285,0.0,2.2148760330578514,ST,112202626090.0,중앙첨단소재,N,D1,192712044232.25806,3427407944501.6504
084370,596,596,9465971933500.0,15882503244.127518,0.0,2.462809917355372,ST,3797188159400.0,유진테크,N,D1,1868325460348.3872,3780140607107.2607
484810,312,312,4944957641500.0,15849223209.935898,0.0,1.2892561983471074,ST,141684890550.0,티엑스알로보틱스,N,D1,1202228526754.8389,1974719058156.7659
474650,259,259,4078057844500.0,15745397083.011583,0.0,1.0702479338842976,ST,148402425600.0,링크솔루션,N,D1,981666574509.6775,1628531350443.8945
